,BrandClean,Recycled,Quantity,BottleType,Weight,Colour,Alcohol,SupplierCity,SupplierCountry,DestinationCity,DestinationCountry,Tonnage,Tonnage%PCR,Tonnage_PCR,SupLat,SupLong,DestLat,DestLong,ProductCode/SKU,Product name,Brand,Distance_km,EmissionFactor,Carbon_Impact_kgCO2,Carbon_Impact_tCO2,Brand_Carbon_Impact_t,Emission_Category
2191,Imperial Blue,100.0,295545.0,18.0,145,FLINT,WHISKY,RANGAREDDY,INDIA,Bangalore,INDIA,42.854025,0.0,4285.4025,16.9344152,77.7788338,12.9767936,77.590082,BTIBNGEN27,GLASS BOTTLE_IMPERIAL BLUE_180ml,IMPERIAL BLUE,440.53413571940445,0.15,2831.8,2.83,5136.66,Very High
2192,Royal Stag,0.55,295488.0,37.5,280,FLINT,WHISKY,FIROZABAD,INDIA,Chomu,INDIA,82.73664,45.505152,45.505152,27.1527986,78.3991439,27.1726642,75.720359,BTRSPOSC12,GLASS BOTTLE_ROYAL STAG_375ml,ROYAL STAG,265.0207244751439,0.15,3289.04,3.29,8615.19,Very High
2193,Imperial Blue,0.55,295392.0,37.5,240,Flint,Whisky,FIROZABAD,INDIA,Guwahati,INDIA,70.89408,38.991744,38.991744,27.1527986,78.3991439,26.1805978,91.753943,BTIBPOSC07,GLASS BOTTLE_IMPERIAL BLUE_375ml,IMPERIAL BLUE,1330.793921533599,0.05,4717.27,4.72,5136.66,Very High
2194,Royal Stag,0.415,295344.0,37.5,280,Flint,Whisky,FIROZABAD,INDIA,Meghalaya,INDIA,82.69632,34.3189728,34.3189728,27.1527986,78.3991439,25.5379432,91.2999102,BTRSPOSC12,GLASS BOTTLE_ROYAL STAG_375ml,ROYAL STAG,1297.3813147251615,0.05,5364.43,5.36,8615.19,Very High
2195,Blenders,0.55,295200.0,18.0,170,Flint,Whisky,FIROZABAD,INDIA,Guwahati,INDIA,50.184,27.6012,27.6012,27.1527986,78.3991439,26.1805978,91.753943,BTBPNGEN12,GLASS BOTTLE_BLENDERS PRIDE_180ml,BLENDERS PRIDE,1330.793921533599,0.05,3339.23,3.34,2580.63,Very High
2196,Blenders,0.3,295200.0,18.0,170,Flint,Whisky,FIROZABAD,INDIA,Bhubneshwar,INDIA,50.184,15.0552,15.0552,27.1527986,78.3991439,20.9603876,82.719444,BTBPNOSC12,GLASS BOTTLE_BLENDERS PRIDE_180ml,BLENDERS PRIDE,816.2340024625331,0.15,6144.28,6.14,2580.63,Very High
2197,Royal Stag,0.55,295200.0,18.0,170,Flint,Whisky,FIROZABAD,INDIA,Bhubneshwar,INDIA,50.184,27.6012,27.6012,27.1527986,78.3991439,20.9603876,82.719444,BTRSNGEN12,GLASS BOTTLE_ROYAL STAG_180ml,ROYAL STAG,816.2340024625331,0.15,6144.28,6.14,8615.19,Very High
2198,Royal Stag,0.55,295200.0,18.0,170,Flint,Whisky,FIROZABAD,INDIA,Guwahati,INDIA,50.184,27.6012,27.6012,27.1527986,78.3991439,26.1805978,91.753943,BTRSNOSC12,PLAIN BOTTLES - BULK_ROYAL STAG_180ml,ROYAL STAG,1330.793921533599,0.05,3339.23,3.34,8615.19,Very High
2199,Royal Stag,0.55,295200.0,18.0,170,Flint,Whisky,FIROZABAD,INDIA,Bhubneshwar,INDIA,50.184,27.6012,27.6012,27.1527986,78.3991439,20.9603876,82.719444,BTRSNOSC12,PLAIN BOTTLES - BULK_ROYAL STAG_180ml,ROYAL STAG,816.2340024625331,0.15,6144.28,6.14,8615.19,Very High
2200,Royal Stag,0.57,295200.0,18.0,170,Flint,Whisky,FIROZABAD,INDIA,Behror,INDIA,50.184,28.60488,28.60488,27.1527986,78.3991439,27.8900657,76.2858227,BTRSNOSC12,GLASS BOTTLE_ROYAL STAG_180ml,ROYAL STAG,223.93887095541083,0.15,1685.72,1.69,8615.19,Very High
2201,Royal Stag,0.55,295200.0,37.5,280,Flint,Whisky,FIROZABAD,INDIA,Guwahati,INDIA,82.656,45.4608,45.460800000000006,27.1527986,78.3991439,26.1805978,91.753943,BTRSPGEN12,PLAIN BOTTLES - BULK_ROYAL STAG_375ml,ROYAL STAG,1330.793921533599,0.05,5499.91,5.5,8615.19,Very High
2202,Royal Stag,0.415,295200.0,18.0,170,FLINT,WHISKY,FIROZABAD,INDIA,Guwahati,INDIA,50.184,20.82636,20.82636,27.1527986,78.3991439,26.1805978,91.753943,BTRSNGEN12,GLASS BOTTLE_ROYAL STAG_180ml,ROYAL STAG,1330.793921533599,0.05,3339.23,3.34,8615.19,Very High
2203,Royal Stag,0.415,295200.0,18.0,170,FLINT,WHISKY,FIROZABAD,INDIA,Behror,INDIA,50.184,20.82636,20.82636,27.1527986,78.3991439,27.8900657,76.2858227,BTRSNGEN12,GLASS BOTTLE_ROYAL STAG_180ml,ROYAL STAG,223.93887095541083,0.15,1685.72,1.69,8615.19,Very High
2204,Royal Stag,0.415,295200.0,18.0,170,FLINT,WHISKY,FIROZABAD,INDIA,Derabassi,INDIA,50.184,20.82636,20.82636,27.1527986,78.3991439,30.5964,76.8433,BTRSNOSC12,GLASS BOTTLE_ROYAL STAG_180ml,ROYAL STAG,411.7739228089957,0.15,3099.67,3.1,8615.19,Very High
